Partido,Pisos con revestimiento,Agua por canieria dentro de la vivienda,Agua para beber y cocinar por red publica,Banio o letrina dentro de la vivienda,Dos o mas banios,Banio con inodoro con arrastre de agua,Desague del inodoro del banio a red publica,Gas de red o electricidad para cocinar,Vivienda propia,Internet,Celular con internet,Computadora o tablet u otros
Leandro N. Alem,91.5,95.1,64.5,98.0,20.2,94.9,76.8,64.8,68.7,74.3,87.1,54.3
Lezama,94.4,97.5,86.3,99.2,23.1,98.3,78.9,68.6,64.3,79.6,89.9,57.4
Lincoln,93.5,95.4,72.8,98.9,21.3,95.9,62.7,66.1,66.6,80.9,87.9,56.1
Lobería,91.8,97.2,87.0,98.8,21.6,97.8,77.2,67.8,67.6,72.3,86.3,53.3
Lobos,91.3,93.3,61.9,97.5,23.0,93.7,30.3,63.2,65.9,83.7,90.2,56.4
Luján,89.3,93.9,56.4,98.1,27.2,91.5,38.1,65.4,65.8,80.2,91.6,61.3
Magdalena,88.3,94.1,76.8,97.2,21.5,93.3,57.1,37.0,59.7,80.8,88.8,57.5
Maipú,92.8,95.4,92.9,98.2,20.4,95.9,73.8,65.3,68.0,73.2,86.6,55.7
Mar Chiquita,93.5,95.7,60.2,98.9,26.6,96.1,30.9,48.2,67.7,71.9,90.8,56.8
Marcos Paz,78.8,91.0,83.4,96.4,16.7,82.8,40.6,36.9,70.7,74.5,90.3,48.1
Mercedes,90.7,95.6,80.3,98.3,27.6,93.5,68.2,67.3,62.6,85.2,91.4,60.5
Monte,91.0,95.2,73.9,98.4,21.4,95.5,58.2,50.7,61.5,74.2,87.6,51.7
Monte Hermoso,94.3,97.8,84.5,99.1,23.1,96.0,71.5,69.6,59.4,80.9,92.3,55.6
Navarro,90.7,95.7,87.4,97.9,18.2,94.0,62.5,44.0,63.0,83.3,88.8,51.3
Necochea,94.7,97.5,93.0,99.1,28.9,97.0,80.1,77.2,65.6,83.4,91.4,62.9
9 de Julio,93.6,96.7,79.8,98.9,26.1,96.5,69.9,66.6,64.8,81.4,89.0,58.2
Olavarría,95.5,96.3,88.1,98.9,24.4,95.6,51.7,87.4,63.8,81.6,89.6,64.8
Patagones,91.2,94.7,95.0,95.8,21.9,96.1,74.3,88.3,63.8,79.8,89.4,59.7
Pehuajó,93.6,90.1,44.9,98.3,22.1,92.1,48.9,70.9,65.9,74.2,87.5,54.2
Pellegrini,94.1,96.4,80.7,99.3,19.5,96.8,81.7,80.0,64.7,67.9,87.0,52.8
Pergamino,90.4,96.4,89.8,97.9,25.7,94,82.2,63.2,67.7,76.5,88.4,59.1
Pila,91.9,96.5,78.2,99.0,17.2,95.8,72.4,52.6,67.0,69.5,84.7,47.6
Pilar,82.3,88.3,35.6,96.1,30.2,84.2,24.4,41.2,69.6,80.7,92.1,58.6
Pinamar,94.0,96.8,77.3,98.6,39.0,95.8,36.5,73.8,54.2,89.2,93.8,65.0
Presidente Perón,67.6,84.1,62.5,94.8,14.7,73.3,38.1,42.5,77.5,79.4,91.4,43.0
Puan,96.1,97.6,90.7,99.4,19.3,98.7,37.7,83.4,70.2,79.4,86.6,60.1
Punta Indio,89.5,95.1,76.8,98.6,19.5,94.9,66.8,36.9,65.1,81.3,87.5,57.6
Ramallo,89.2,96.1,94.8,97.1,21.9,93.9,78.8,51.6,70.9,72.9,87.0,51.7
Rauch,95.1,96.5,87.8,98.4,25.8,97.7,81.8,78.4,65.3,64.4,82.6,52.7
Rivadavia,93.9,96.0,39.7,99.0,20.6,96.6,66.3,52.5,66.9,82.2,89.8,59.4
Rojas,91.3,97.6,92.2,98.7,21.4,96.0,80.7,63.5,70.4,79.1,89.2,60.2
